349923	Als Kind bin ich öfter mit meinem Vater fischen gegangen.	1051380	Kao dijete sam često sa svojim ocem išao na pecanje.
349926	Als Kind bin ich jeden Sommer an die Küste gefahren.	1051388	Kao dijete sam svakog ljeta išao na morsku obalu.
349928	Als Kind habe ich überall schlafen können.	1051396	Kao dijete mogao sam spavati svuda.
349932	Wir kennen uns seit der Kinderzeit.	1051403	Znamo se još iz djetinjstva.
349933	Als Kind bin ich immer früh aufgestanden.	1051405	Kao dijete sam uvijek rano ustajao.
349940	Als Kind wurde ich von meiner Mutter gezwungen, Gemüse zu essen.	1051426	Dok sam bio dijete, moja mati me je tjerala jesti povrće.
349944	Als Kind dachte ich, dass ich Arzt werden wollte.	1051434	Kao dijete sam želio postati liječnik.
349946	Als Kind bin ich öfter im Meer schwimmen gegangen.	1051438	Kao dijete sam često išao plivati na more.
349948	Es war kein Problem, die Kindergruppe zur Bibliothek mitzunehmen.	1051451	Nije bio problem dovesti grupu djece u knjižnicu.
349949	So etwas sollst du nicht sagen, wenn Kinder anwesend sind.	1051453	Ne smiješ takvo što govoriti pred djecom.
349952	Lass das Kind nicht mit dem Messer spielen.	1051458	Nemoj dozvoliti djetetu igrati se s nožem.
349953	Ich habe den Zug verpasst.	1051459	Propustio sam vlak.
349954	Ein Dichter betrachtet die Welt, wie ein Mann eine Frau betrachtet.	1051462	Pjesnik gleda svijet kao muškarac ženu.
349955	Ich habe meine Freunde zum Abendessen eingeladen.	1051464	Pozvao sam svoje prijatelje na večeru.
349956	Papa hat einen Fotoapparat gekauft.	1051467	Tata je kupio fotoaparat.
349957	Ich habe ein Fahrrad.	1051470	Imam bicikl.
349958	Er ist nicht sehr gut in Mathematik.	1051473	Nije baš dobar u matematici.
349959	Ihr Schicksal war, jung zu sterben.	1051475	Sudbina joj je bila umrijeti mlada.
349961	Ich putze mir zweimal am Tag die Zähne.	1051478	Perem zube dvaput dnevno.
349962	Nahrung wird im Magen verdaut.	1051481	Hrana se probavlja u želucu.
349963	Ich weiß, dass Marie ins Ausland gegangen ist.	1051483	Znam da je Marija otišla u inozemstvo.
349964	Er ist ans Meer gegangen, um zu schwimmen.	1051485	Otišao je na more plivati.
349965	Die Prinzessin war von einer unbeschreiblichen Schönheit.	1051490	Princeza je bila neopisive ljepote.
349966	Kann ich mit Scheck zahlen?	1051492	Mogu li čekom platiti?
349967	Er kann sehr schnell schwimmen.	1051493	On može vrlo brzo plivati.
349968	Sie hat viele Kleider.	1051495	Ona ima mnogo odjeće.
349969	Sie hat einen Onkel, der bei einer Bank arbeitet.	1051496	Ona ima ujaka koji radi u banci.
349970	Ich habe vor zwei Jahren aufgehört zu rauchen.	1051497	Prestao sam pušiti prije dvije godine.
349971	Jedem Schüler wurde eine Frage gestellt.	1051499	Svakom učeniku je postavljeno jedno pitanje.
349972	Reden ist Silber, Schweigen ist Gold.	1051504	Govoriti je srebrno, šutjeti zlatno.
349972	Reden ist Silber, Schweigen ist Gold.	1051505	Znaj govoriti, ali i šutjeti.
349973	Er hat zugegeben, dass er Unrecht hatte.	1051508	Priznao je da nije bio u pravu.
349974	Paula muss ihrem Vater in der Küche helfen.	1051512	Paula mora pomoći svome ocu u kuhinji.
349975	Heute Nachmittag wird es regnen.	1051515	Danas popodne će kišiti.
349976	Um ehrlich zu sein, ich mag ihn nicht.	1051517	Iskreno, ne volim ga.
349977	Nimm 2 oder 3 Tage Urlaub.	1051523	Uzmi dva-tri dana slobodno.
349978	Nimm bitte ein paar Tage Urlaub.	1051530	Uzmi nekoliko dana slobodnog.
349979	Ich bin für diesen Fehler verantwortlich.	1051532	Odgovoran sam za tu pogrješku.
349980	Egal, was sie isst, sie nimmt nicht zu.	1051535	Bez obzira na to što jede, ne mršavi.
349981	Wascht eure Hände vor dem Essen.	1051536	Operite svoje ruke prije jela.
349982	Ist da jemand?	1051538	Je li netko tu?
349987	Ich habe kein Geld.	1051551	Nemam novaca.
350002	Ich bin heute wirklich sehr müde.	1051565	Danas sam jako pospan.
350003	Nach dem Frühling kommt der Sommer.	1051567	Nakon proljeća dolazi ljeto.
350011	Meine Mutter ist nicht immer zu Hause.	1051568	Moja mati nije uvijek kod kuće.
351740	Ich weiß nicht.	1100756	Ne znam.
351765	Ich gehe zu Fuß zur Schule.	933871	Idem pješke u školu.
353000	Es ist jetzt sehr kalt.	957987	Sada je stvarno jako hladno.
353086	Sein Name ist Ken.	2156633	Njegovo ime je Ken.
353087	Er ist von Beruf Arzt.	1053824	Po zanimanju je liječnik.
353109	Sein Name ist Tomoyuki Ogura.	468598	Zove se Tomojuki Ogura.
353329	Wie lange hast du gewartet?	936603	Koliko si dugo čekao/čekala?
353329	Wie lange hast du gewartet?	936607	Koliko Ste dugo čekali?
357776	Sie ist nicht groß.	755930	Ona nije visoka.
360678	Ich bin ein Student.	466221	Ja sam student.
360710	Ich habe ein altes Fahrrad.	960602	Imam stari bicikl.
360801	Ich bin Student.	466221	Ja sam student.
360973	Tom mag keinen Käse.	2197460	Tom ne voli sir.
362153	Ist er ein Lehrer?	481617	Je li on nastavnik?
362782	Sie müssen sehr hart arbeiten.	933848	Morate naporno raditi.
363252	Er ging zum Zahnarzt.	1047971	Otišao je zubaru.
368215	Sie müssen das Gesetz einhalten.	1050945	Mora se poštovati zakon.
369224	Sei nicht so kindisch.	1051034	Ne budi tako djetinjast.
369594	Eine Hand wäscht die andere.	658907	Ruka ruku mije.
372721	Schweigen ist Gold.	1139195	Šutnja je zlato!
376087	Ich liebe dich!	567186	Volim te.
392373	Die Fakten bestätigen diese Hypothese.	955710	Činjenice potvrđuju tu hipotezu.
393609	Wer fremde Sprachen nicht kennt, weiß nichts von seiner eigenen.	955801	Tko strane jezike ne poznaje, ni svoj vlastiti ne poznaje.
397489	Danke!	2213774	Hvala!
397531	Warum ist er hier?	1280910	Zašto je on ovdje?
397759	Es wäre gut, wenn du Sommerkleidung tragen würdest.	1054055	Bilo bi dobro kad bi nosio ljetnu odjeću.
397836	Ich kann kein Englisch sprechen. Und noch weniger kann ich Spanisch.	933874	Ne znam engleski, još manje španjolski.
397867	Bob schreibt mir einmal im Monat.	1040926	Bob mi piše jednom mjesečno.
403452	Ich arbeite jeden Tag außer sonntags.	960320	Svaki dan radim osim nedjeljom.
404674	Der Mann, Ödipus, zitterte.	958047	Čovjek, Edip, je drhtao.
406777	Hallo, Tom.	466209	Bok, Tom.
408012	Wie gewonnen, so zerronnen.	658946	Kako došlo, tako prošlo.
408508	Sag nicht so etwas.	958160	Ne govori tako.
410212	Das ist ein Buch.	482794	Ovo je knjiga.
413520	Er wurde wegen Raubes ins Gefängnis geschickt.	1041100	Zbog pljačke je poslan u zatvor.
414002	Die Blätter fielen auf den Boden.	2156768	Lišće je palo na zemlju.
418969	Wasser gefriert bei 0 Grad Celsius.	1051136	Voda se ledi pri ništici.
426460	Ich habe ihr ein paar Bücher gegeben.	1040875	Dao sam ti nekoliko knjiga.
432006	Es ist kalt dort, sogar im Sommer.	955765	Tamo je hladno, čak i ljeti.
432008	Jeder mag höfliche Leute.	955770	Svatko voli uljudne ljude.
432010	Wie weit ist es bis zu deiner Schule?	955773	Koliko ima do tvoje škole?
432011	Hör auf, mich zu nerven. Ich bin beschäftigt.	955775	Prestani smetati mi. Zaokupljen sam.
432013	Ich habe gestern meine Armbanduhr verloren.	955777	Jučer sam izgubio svoj ručni sat.
432014	Man sollte den Kindern beibringen, nicht zu lügen.	955779	Trebalo bi djecu naučiti da ne lažu.
432016	Es ist sehr nett von dir, mir bei den Hausaufgaben zu helfen.	955781	Vrlo lijepo od tebe što mi želiš pomoći oko domaće zadaće.
432017	Ich höre einen Hund im Wald bellen.	955782	Čujem psa koji laje u šumi.
432018	Welcher ist dein Lieblingssatz?	955785	Koja je tvoja omiljena rečenica?
432019	Er ist nicht reicher als ich.	955787	On nije bogatiji od mene.
435174	Mein Vater lebt und arbeitet in Tokio.	1041041	Moj otac živi i radi u Tokiju.
437482	Kannst du mir beim Geschirrspülen helfen?	949192	Bi li mi htio pomoći oprati posuđe?
438398	Sie wurde für ihr unachtsames Fahren bestraft.	950851	Kažnjena je zbog nepažljive vožnje.
439763	Wie heißen Sie?	476823	Kako se zovete?
449038	Ich bin jung.	834700	Ja sam mlad.
450590	Mach keinen Fehler.	1051165	Nemoj napraviti pogrješku.
450591	Gib mir ein paar.	1051166	Daj mi nekoliko.
450596	Sie war von königlichem Geblüt.	1051170	Ona je kraljevske krvi.
450596	Sie war von königlichem Geblüt.	1051171	Rođena je u kraljevskoj obitelji.
450597	Ich fliege lieber mit dem Flugzeug.	1051173	Radije letim zrakoplovom.
450598	Der Bus kam zehn Minuten zu spät.	1051175	Bus je došao deset minuta kasnije.
450603	Sie gebar einen Jungen.	1051180	Rodila je dječačića.
450605	Sag ihr nichts davon.	1051183	Ništa joj nemoj reći.
450607	Frag ihn, wann sie zurückkommt.	1051184	Pitaj ga kad će se ona vratiti.
450608	Ich schrieb ihr einen Liebesbrief.	1051186	Napisao sam joj ljubavno pismo.
450610	Kann er so etwas gesagt haben?	1051188	Je li mogao takvo što reći?
450617	Mir macht es nichts aus, kritisiert zu werden, wenn ich falsch liege.	1051189	Nisam protiv biti kritiziran, ako to zaslužujem.
450618	Esssitten unterscheiden sich von Land zu Land.	1051190	Navike jedenja se razlikuju od zemlje do zemlje.
450621	Ich werde Bob genannt.	1051192	Zovu me Bob.
450626	Er hat feste Prinzipien.	1051196	On ima snažna načela.
451378	Wie heißt du?	468409	Kako se ti zoveš?
453989	Er ist mein Freund.	490780	On je moj prijatelj.
454193	Diese Tour beinhaltet jede der fünf Hauptinseln.	1047899	Taj obilazak uključuje svih pet otoka.
454287	Ich hatte eine Idee.	1396107	Imao sam ideju.
460470	Drück mir die Daumen.	1101202	Drži mi palčeve.
461390	Haben Sie das selbst gemacht?	1041589	Jeste li to sami napravili?
465485	Dann besuchten wir Washington D.C., die Hauptstadt der Vereinigten Staaten von Amerika.	945104	Onda smo posjetili Washington D.C., glavni grad Sjedinjenih Američkih Država.
475490	Das ist keine Katze. Das ist ein Hund.	475486	To nije mačka, pas je.
487095	Du musst spätestens um 5 Uhr am Bahnhof ankommen.	1047771	Moraš najkasnije u 5 sati biti na stanici.
489750	Warum nicht?	933853	Zašto ne?
494302	Ich bin Übersetzer.	490801	Ja sam prevoditelj.
501009	Jemand hat an der Tür geklopft.	1050903	Netko je pokucao na vrata.
503366	Wer ist diese Person?	488785	Tko je ovaj čovjek?
522639	China hat Grenzen zu Pakistan, Indien, Afghanistan, Tadschikistan, Kirgisistan, Kasachstan, Nordkorea, Laos, Vietnam, Nepal, Bhutan, Myanmar, zur Mongolei und zu Russland.	958173	Kina graniči s Pakistanom, Indijom, Afganistanom, Tadžikistanom, Kirgistanom, Kazahstanom, Sjevernom Korejom, Laosom, Vijetnamom, Nepalom, Butanom, Mijanmarom, Mongolijom i Rusijom.
533842	Da ist ein fremder Mann an der Tür.	1051636	Stranac je na vratima.
535086	Ich möchte dich küssen.	3402027	Hoću te ljubiti.
535243	Wenn ich meine Brieftasche nicht bis morgen zurückbekomme, werden Köpfe rollen!	1040887	Ako ne dobijem sutra svoj novčanik, glave će padati.
535995	Sie geht selten, möglicherweise nie, vor Elf ins Bett.	1041513	Ona rijetko ide, možda nikada, prije jedanaest u krevet.
536939	Wer ist der Mann da?	493332	Tko je taj čovjek?
536979	Das Wetter ist so schön!	536978	Vrijeme je tako lijepo!
540502	„Wang Lao Ji“ ist kein Bier, sondern Tee.	540501	Vang Lao Dži nije pivo. Čaj je.
545847	Mein Familienname ist Wang.	955780	Moje prezime je Wang.
547995	Der Hund heißt Ken.	476812	Pas zove se Ken.
554573	Sehr gut, danke.	1100962	Vrlo dobro, hvala.
555801	Die Klinge meines Messers ist sehr scharf.	944995	Oštrica moga noža je vrlo oštra.
562583	Laut Tom hat Jane letzten Monat geheiratet.	944969	Prema Tomu Jane se udala prošli mjesec.
570668	Jeder hat das Recht auf eine Staatsangehörigkeit.	1100915	Svi imaju pravo na državljanstvo.
588734	Sie hob die Faust, als ob sie mich schlagen wollte.	958125	Podigla je pesnicu kao de me želi udariti.
593378	Männer wie ihn mag ich nicht.	1041619	Ne volim muškarce poput njega.
427048	Hallo! Wie geht es dir?	1057622	Zdravo, kako si?
427048	Hallo! Wie geht es dir?	1057623	Bok, kako si?
612930	Können Sie morgen zur Besprechung kommen?	945141	Možete li doći sutra na sastanak?
623529	Unser Versuch hat sich als Fehler herausgestellt.	958145	Naš pokušaj se pokazao pogrješkom.
635924	Ich gehe jeden Tag zur Arbeit.	960317	Svaki dan idem na posao.
636153	Sie sind vom Aussterben bedroht.	1055788	U opasnosti su od izumiranja.
640651	Es hat keinen Sinn, diesen Mann um einen Gefallen zu bitten.	974126	Nema smisla pitati tog čovjeka za uslugu.
645106	Sie hat ihren Freund seit der Schulzeit, glaubt aber, dass sie nur aus Gewohnheit zusammen sind und ist zunehmend unzufrieden.	1047818	Ona ima dečka još iz škole, ali misli da su zajedno samo iz navike te je sve više nezadovoljna.
651313	Er ist ein geschickter Handarbeiter.	933878	Vrlo je vješt ručni izrađivač.
651313	Er ist ein geschickter Handarbeiter.	933879	Vrlo je vješt u ručnim poslovima.
652062	Was wirst du machen?	1048031	Što ćeš raditi?
658197	Sie wachte von allein auf.	2220530	Sama se probudila.
664070	Dein Bruder bittet um Hilfe.	950069	Tvoj brat treba pomoć.
664085	Ich will Eis zum Nachtisch.	1041586	Želim sladoled za desert.
674143	Wie lange wird unsere Zivilisation existieren?	1047829	Koliko dugo će naša civilizacija postojati?
676955	Kein Buch ist des Lesens wert.	945208	Nijedna knjiga nije vrijedna čitanja.
693586	Selbst wenn es regnet, werde ich morgen früh aufbrechen.	945190	Čak i ako bude padala kiša, početi ću sutra rano.
693957	Jemand hat meine Tasche gestohlen.	949200	Netko mi je ukrao torbicu.
699650	Sag mir mehr.	1051669	Reci mi više.
701928	Der Lehrer warnte uns, dass der Test schwer werden würde.	1050320	Učitelj nas je upozorio da bi ispit mogao biti težak.
708688	Ein Unfall ist passiert.	958067	Dogodila se nesreća.
718272	Die Firma hat finanzielle Schwierigkeiten.	957654	Tvrtka ima novčane probleme.
718274	Unsere Fahrradtour in den französischen Alpen dauerte zwei Wochen.	957668	Naša biciklistička ekskurzija u francuskim Alpama je trajala dva tjedna.
718276	Wir planen eine Reise nach New York.	957672	Planiramo putovanje u New York.
718278	Tom ist auf Geschäftsreise.	957676	Tom je na poslovnom putu.
725280	Eine Sprache ist einzigartig für den Menschen.	2156850	Jezik je jedinstven ljudima.
740897	Ich bin eine Frau.	1122521	Ja sam žena.
743949	Du hättest ihm nicht bei der Arbeit helfen müssen.	949187	Nisi mu trebao pomoći pri poslu.
755979	Wir müssen fleißig arbeiten.	933875	Moramo marljivo raditi.
756124	Kohlendioxid ist an sich nicht giftig.	1041602	Ugljikov dioksid sam po sebi nije otrovan.
759320	Wasser gefriert bei 0 °C.	1051136	Voda se ledi pri ništici.
759619	Ich war von ihrer Schönheit hingerissen.	1050957	Bio sam očaran njezinom ljepotom.
761408	Wann wird das Abendessen serviert?	957862	Kada će večera bti poslužena?
763163	Ich komme aus Italien und spreche Italienisch.	2197421	Ja sam iz Italije i govorim talijanski.
766687	Diese Tatsache darf nicht vergessen werden.	933894	Ta činjenica ne smije biti zaboravljena.
776062	Der Sohn folgte seinem Vater.	1048065	Sin je slijedio svoga oca.
784137	Was ist Ihnen gestern Abend passiert?	936714	Što Vam se dogodilo jučer navečer?
784638	Sag mir bitte, wo die Polizeiwache ist.	933850	Reci mi molim te, gdje je policijska stanica?
786631	Wir sahen sie den Raum betreten.	960568	Vidjeli smo ju kako ulazi u sobu.
789492	Frau Brown warnte Beth, dass sie, falls sie nicht ordentlich esse, dauerhaft übergewichtig sein werde.	960593	Gospođa Brown je upozorila Beth ne bude li jela kako treba, da će stalno imati višak kila.
802509	Ich will wollen, was du willst.	1050267	Želim željeti ono što ti želiš.
804477	Entschuldigung, wie spät ist es?	944772	Oprostite, što je sati?
808956	Vor Luise öffnen sich alle Türen.	958070	Ispred Luise se otvaraju sva vrata,
836096	Wann sind Sie nach Paris gekommen?	1050229	Kada ste stigli u Pariz?
841462	Ich erinnere mich, wie ich die Königin getroffen habe.	3179144	Sjećam se kako sam sreo kraljicu.
841462	Ich erinnere mich, wie ich die Königin getroffen habe.	3179147	Sjećam se kako sam pogodio kraljicu.
885659	Ich bin nicht intelligenter als er.	936703	Nisam inteligentniji više nego on.
890515	Starre keine Leute an.	1041584	Ne bulji u ljude.
909921	Sie hat ihn rausgeschmissen.	1041088	Izbacila ga je.
912511	Sie versuchte nicht, den Brief zu übersetzen.	1051604	Nije pokušala prevesti pismo.
917515	Und nun, was soll ich jetzt machen?	950078	A što da radim sada?
924196	Ich bin zufrieden mit diesen Schuhen.	2220483	Zadovoljan sam ovim cipelama.
933576	Bald sahen wir ein Haus, dessen Dach rot war.	936994	Ubrzo smo vidjeli kuću, čiji je krov bio crven.
933979	Ich fühlte mich nicht wohl, da ich kein Französisch sprach.	1041568	Nisam se osjećao dobro zbog neznanja francuskog.
934068	Das ist ein Hotel.	935042	To je hotel.
936938	Ich hasse Mücken.	936934	Mrzim komarce.
936957	Die Grenzen meiner Sprache bedeuten die Grenzen meiner Welt.	936943	Granice moga jezika su granice moga svijeta.
937020	Attraktive Menschen stoßen mich ab.	937027	Atraktivni ljudi me odbijaju.
938162	Wir wünschen uns einen guten Appetit und haben uns alle lieb.	938172	Zaželimo si dobar tek i neka se svi volimo.
938163	Mir geht es jetzt schon viel besser.	938183	Sada mi je puno bolje.
942058	Arbeitet bei Ihnen ein John Harrison?	960296	Radi li kod Vas jedan John Harrison?
942059	Genau in dem Augenblick, als wir miteinander sprachen, brach ein Feuer aus.	960297	Baš dok smo pričali, buknula je vatra.
942063	Der mutige Feuerwehrmann rettete den Jungen, indem er ihn aus dem brennenden Haus herausholte.	960300	Hrabri vatrogasac je spasio dječaka iz goruće kuće.
942065	AIDS kann nur aufgehalten werden, wenn jeder Einzelne sich ihm entschlossen entgegenstellt.	960303	AIDS se može zaustaviti samo onda, ako mu se svaka osoba odluči suprotstaviti.
942070	Ich hätte sie gerne mal gesehen.	960309	Rado bih ju volio vidjeti.
942072	Ich bin größer als jeder andere Mitschüler.	960310	Stariji sam od svih ostalih učenika u razredu.
942074	Verstauen Sie es außer Reichweite von Kindern.	960312	Sklonite izvan dosega djece.
942076	Diesen Sommer mache ich eine Fahrradtour durch Europa.	960314	Ovog ljeta putovat ću biciklom kroz Europu.
942080	Ihr müsst doch nicht immer perfekt sein.	960318	Ne morate uvijek savršeni biti.
942085	Je verbotener etwas ist, desto beliebter wird es.	960322	Što je nešto više zabranjeno, to je poželjnije.
942085	Je verbotener etwas ist, desto beliebter wird es.	960323	Zabranjeno voće.
942086	Ich hoffe, du genießt den Flug.	960324	Nadam se da uživaš u letu.
942094	Ich bin gleich bei dir.	960333	Odmah sam kod tebe.
942107	Das Leben dieses Kranken ist in Gefahr.	960364	Život tog bolesnika je u opasnosti.
942116	Ich schickte sie nachhause.	960386	Poslao sam ju kući.
942117	Er gab uns nicht nur Kleidung, sondern auch etwas Geld.	960401	Nije nam dao samo odjeću, već i nešto novaca.
942121	Hattest du an dem Tag Klavierstunde?	960419	Jesi li imao taj dan poduku iz klavira?
942143	Frohe Weihnachten!	960474	Sretan Božić!
942168	Was willst du nach dem Studium machen?	960499	Što ćeš raditi nakon studija?
942175	Da ich nicht wusste, was ich tun sollte, bat ich ihn um Rat.	960502	Pošto nisam znao što učiniti, pitao sam ga za savjet.
942177	Er hat meinen Rat befolgt.	960505	Poslušao je moj savjet.
942566	Ich bin gerade dabei, über unsere Parks und Berge zu schreiben.	942593	Pisati ću o našim parkovima i planinama.
942569	Kann ich auch zu Fuß kommen?	942599	Mogu li doći pješke?
942571	Ich möchte um die ganze Welt reisen.	942600	Želim cijeli svijet proputovati.
942574	Dieser Mann ist betrunken.	942603	Ovaj čovjek je pijan.
942721	Ich esse gerade einen Apfel.	942724	Upravo jedem jabuku.
944572	Ich fühlte mich schlecht.	944577	Osjećao sam se loše.
945513	Beschwer dich doch nicht dauernd! Du bist schließlich nicht der Einzige, der es schwer hat.	2156970	Ne žali se stalno! Nisi jedini kojemu je teško.
945513	Beschwer dich doch nicht dauernd! Du bist schließlich nicht der Einzige, der es schwer hat.	2156971	Ne žali se stalno! Nisi jedina kojoj je teško.
947122	Weil ich viel zu tun hatte, hatte ich nicht die Zeit, dir einen Brief zu schreiben.	1041622	Jer sam imao puno posla, nisam imao vremena napisati ti pismo.
947314	Ich kann kein Englisch, geschweige denn Spanisch.	933874	Ne znam engleski, još manje španjolski.
951731	Schreiben Sie bitte Ihren Namen.	1050956	Molim vas napišite svoje ime.
952511	Das Leben in der Stadt unterscheidet sich stark von dem auf dem Land.	955821	Življenje u gradu se vrlo razlikuje od življenja na selu.
952513	Die Bevölkerung nimmt zu.	955823	Stanovništvo raste.
952520	Selbst heutzutage noch kämpfen Frauen gegen Diskriminierung.	955827	Čak i dan danas žene se bore protiv diskriminacije.
952533	Sie beging einen schweren Fehler.	955847	Napravila je veliku grješku.
955609	Ich habe Esperanto-Freunde in mehr als vierzig Ländern.	955744	Imam prijatelje esperantiste u više od četrdeset zemalja.
955610	Er schwor seiner Verlobten Treue bis zum Tod.	955745	Obećao je svojoj voljenoj vjernost do smrti.
955613	Du bist von meinem Fleisch und Blut.	955750	Moje si krvi i mog mesa.
955688	Ich werde dich nächstes Jahr sehen können.	955690	Sljedeće godine ću te moći vidjeti.
956164	Nichts auf der Welt ist stärker als der Wille zu überleben.	956161	Ništa na svijetu nije jače od nagona za preživljenje.
957590	Das Heilige Römische Reich deutscher Nation hörte im Jahre 1806 auf zu existieren.	957602	Sveto Rimsko Carstvo njemačkog naroda je prestalo postojati godine 1806.
957591	Schalten Sie bitte Ihren Motor aus.	957604	Isključite molim vas Vaš motor.
957597	George hat zwei Cousins; der eine lebt in Deutschland, der andere in der Schweiz.	957627	George ima dvije rođakinje; jedna živi u Njemačkoj, a druga u Švicarskoj.
957603	In Deutschland ist es im Winter kälter als in Italien.	957630	U Njemačkoj je zimi hladnije nego u Italiji.
957716	1994 waren Wasser und Reis in Japan knapp.	957733	1994. voda i riža u Japanu su bili jedva dovoljni.
978161	Der Polizist war besoffen.	1053860	Policajac je bio pijan.
989647	Viele Amerikaner gaben Spanien die Schuld.	2156946	Mnogi Amerikanci su optužili Španjolsku.
1002000	Die Bank ist am Sonntag geschlossen.	1051051	Banka ne radi nedjeljom.
1053649	Spenser erzählte niemandem von seinem heimlichen Plan, es seinen Freunden dafür heimzuzahlen, dass sie ihm einen Streich gespielt hatten.	1053659	Spenser neće nikome reći o spački koju će spraviti svojim prijateljima kada se vrati.
1079215	Komm doch rein, draußen ist es kalt.	3179072	Uđi unutra. Vani je hladno.
1100480	Wir haben über dich geredet.	1100663	Razgovarali smo o tebi.
1100480	Wir haben über dich geredet.	1100664	Mi smo razgovarali o tebi.
1115347	Möchten Sie lieber Englisch sprechen?	3179164	Želite li rađe pričati engleski?
1126610	Du bist meine Mutter.	1342265	Ti si moja majka.
1188692	Auf dem Tisch steht eine Vase.	3179162	Na stolu je vaza.
1195798	Ich bin kein Arzt.	2743263	Nisam doktor.
1211698	Ich heiße Wang Jiaming.	1047906	Zovem se Jiaming Wang.
1219297	Der würde dir sein letztes Hemd geben.	3179121	Taj bi ti dao i košulju sa sebe.
1254841	Frag sie, was sie eingekauft hat.	2213798	Pitaj nju, što je kupila.
1396164	Zagreb ist die Hauptstadt der Kroatischen Republik.	1100786	Zagreb je glavni grad republike Hrvatske.
1397598	Ich kann Englisch nicht so gut wie er.	2220495	Ne znam engleski tako dobro kao on.
1400500	Ich bin fast vierzig und immer noch nicht verheiratet.	1400506	Imam skoro četrdeset godina i još uvijek nisam oženjen.
1400511	Ich bin eine alleinerziehende Mutter von vier Kindern.	1400521	Ja sam samohrana majka četvoro djece.
1405221	Kaum spricht man vom Teufel, da steht er schon vor der Tür.	658947	Mi o vuku, a vuk na vrata.
1411814	Diese Tatsache sollten wir nicht vergessen.	933894	Ta činjenica ne smije biti zaboravljena.
1411815	Diese Tatsache sollten wir im Auge behalten.	933894	Ta činjenica ne smije biti zaboravljena.
1414655	Ich glaube, mein Deutscher ist nicht besonders gut.	3179076	Mislim da moj Nijemac nije baš dobar.
1477338	Es ist kein Verbrechen, das Frühstück manchmal wegzulassen.	1477292	Nije zločin ponekad preskočiti doručak.
1547161	Ich komme aus Italien, und ich spreche Italienisch.	2197421	Ja sam iz Italije i govorim talijanski.
1566143	Hier ist mein Geheimnis. Es ist ganz einfach: man sieht nur mit dem Herzen gut. Das Wesentliche ist für die Augen unsichtbar.	2141754	Evo moje tajne. Vrlo je jednostavna: c'ovjek samo srcem dobro vidi. Bitno je oc'ima nevidljivo.
1566143	Hier ist mein Geheimnis. Es ist ganz einfach: man sieht nur mit dem Herzen gut. Das Wesentliche ist für die Augen unsichtbar.	3090687	Evo moje tajne. Sasvim je jednostavna: čovjek samo srcem dobro vidi. Bitno je očima nevidljivo.
1620937	Die aufblühende Literatur begünstigte die Herausbildung einer nationalen Identität.	2156919	Cvjetajuća književnost je pogodovala oblikovanju nacionalnog identiteta.
1626800	Wie lange noch, Catilina, wirst du unsere Geduld missbrauchen?	1626991	Dokle ćeš konačno, Katilina, zlorabiti strpljivost našu?
1678792	Gefährlich wird es nur für den, der nicht auf das Leben reagieren.	3179108	Opasno će biti samo za onoga koji ne reagira na život.
